plate_width_mm,upper_plate_height_mm,lower_plate_slant_mm,thickness_mm,mass_kg,mode1_hz,mode2_hz,mode3_hz,safe
50,100,70,12,0.000989,4323.82,5433.72,7217.23,1
50,100,70,14,0.001153,5038.65,6270.97,7293.67,1
50,100,80,6,0.000545,1810.83,3007.73,5460.79,1
50,100,80,8,0.000727,2266.84,3541.86,5560.57,1
50,100,80,10,0.000909,2871.54,4082.43,5690.31,1
50,100,80,12,0.001091,3251.97,4469.82,5726.23,1
50,100,80,14,0.001272,3638.1,4778.18,5793.03,1
50,100,90,6,0.0006,1522.28,2625.55,4543.61,1
50,100,90,8,0.0008,1809.7,2852.7,4458.11,1
50,100,90,10,0.001001,2115.87,3165.12,4642.66,1
50,100,90,12,0.001201,2580.75,3683.69,4722.33,1
50,100,90,14,0.001401,2885.44,3953.04,4750.24,1
50,100,100,6,0.000659,1352.39,2313.94,3785.68,1
50,100,100,8,0.000879,1515.87,2492.02,3865.34,1
50,100,100,10,0.001099,1824.84,2860.25,3955.24,1
50,100,100,12,0.001319,2094.46,3141.59,4004.88,1
50,100,100,14,0.001539,2298.52,3289.34,3996.13,1
60,50,60,6,0.000341,3217.92,4181.85,8560.28,1
60,50,60,8,0.000454,4109.98,5006.56,9158.17,1
60,50,60,10,0.000568,4986.12,5949.9,9331.24,1
60,50,60,12,0.000681,5641.29,6519.13,9480.94,1
60,50,60,14,0.000795,6366.77,7306.14,9569.26,1
60,50,70,6,0.000392,2461.44,3484.19,7118.75,1
60,50,70,8,0.000522,3143.64,4091.59,7265.48,1
60,50,70,10,0.000653,3705.64,4689.44,7359.1,1
60,50,70,12,0.000783,4138.66,5103.92,7428.6,1
60,50,70,14,0.000914,4674.68,5514.46,7436.62,1
60,50,80,6,0.000447,1956.58,2861.87,5741.08,1
60,50,80,8,0.000595,2296.14,3240.31,5819.89,1
60,50,80,10,0.000744,2743.6,3665.06,5883.03,1
60,50,80,12,0.000893,3155.39,4136.53,5929.81,1
60,50,80,14,0.001042,3416.1,4303.84,6026.9,1
60,50,90,6,0.000506,1515.45,2365.43,4693.2,1
60,50,90,8,0.000674,1823.63,2681.65,4763.82,1
60,50,90,10,0.000843,2093.47,2996.35,4824.83,1
60,50,90,12,0.001011,2484.29,3313.36,4873.42,1
60,50,90,14,0.00118,2699.49,3589.36,4891.45,1
60,50,100,6,0.000569,1205.18,1993.97,3976.34,1
60,50,100,8,0.000759,1448.15,2227.07,3965.5,1
60,50,100,10,0.000948,1724.51,2505.26,4027.99,1
60,50,100,12,0.001138,1941.41,2813.4,4036.47,1
60,50,100,14,0.001328,2107.98,2977.89,4043.12,1
60,62,60,6,0.000372,3151.66,4150.47,8481.93,1
60,62,60,8,0.000496,4136.65,5007.1,9138.94,1
60,62,60,10,0.00062,4960.17,5966.1,9336.78,1
60,62,60,12,0.000744,5905.5,6869.73,9475.13,1
